0-11-11-11-0-0 0 83 83 83 0 0
0-12-12-12-0-0 0 84 84 84 0 0
0-13-13-13-0-0 0 72 72 72 0 0
0-14-14-14-0-0 0 22 22 22 0 0
0-15-15-15-0-0 0 3 3 3 0 0
0-16-16-16-0-0 0 12 12 12 0 0
0-3-3-3-0-0 0 4 4 4 0 0
0-4-4-4-0-0 0 19 19 19 0 0
0-5-5-5-0-0 0 46 46 46 0 0
0-6-6-6-0-0 0 54 54 54 0 0
0-7-7-7-0-0 0 124 124 124 0 0
0-8-8-8-0-0 0 150 150 150 0 0
0-9-9-9-0-0 0 203 203 203 0 0
10-10-10-10-0-0 124 124 124 124 0 0
11-11-11-11-0-0 83 83 83 83 0 0
12-12-12-12-0-0 84 84 84 84 0 0
13-10-4-4-4-0 2 1 0 0 0 0
13-10-5-5-5-0 2 2 2 2 2 0
13-10-7-7-7-0 1 0 0 0 0 0
13-13-13-13-0-0 72 72 72 72 0 0
14-10-7-7-7-0 3 2 2 2 2 0
14-11-8-8-8-0 2 2 1 1 1 0
14-13-6-6-6-0 9 8 4 4 4 0
14-14-14-14-0-0 22 22 22 22 0 0
14-7-4-4-4-0 2 1 0 0 0 0
15-10-4-4-4-0 3 3 1 1 1 0
15-12-5-5-5-0 4 4 1 1 1 0
15-13-7-7-7-0 2 2 2 2 2 0
15-15-15-15-0-0 3 3 3 3 0 0
15-8-3-3-3-0 2 1 0 0 0 0
15-8-5-5-5-0 3 3 1 1 1 0
15-9-3-3-3-0 3 1 1 1 1 0
15-9-4-4-4-0 4 2 1 1 1 0
16-10-4-4-4-0 2 2 1 1 1 0
16-10-6-6-6-0 2 2 1 1 1 0
16-12-6-6-6-0 6 5 2 2 2 0
16-12-8-8-8-0 2 2 0 0 0 0
16-16-16-16-0-0 12 12 12 12 0 0
16-8-3-3-3-0 1 1 0 0 0 0
16-8-5-5-5-0 2 1 0 0 0 0
16-9-3-3-3-0 1 0 0 0 0 0
16-9-5-5-5-0 5 2 1 1 1 0
17-10-7-7-7-0 2 0 0 0 0 0
