	sequences per sample	iteration	sample1	sample2	sample3	sample4	sample5	sample6
alpha_rarefaction_3565_5.biom	3565	5	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_6.biom	3565	6	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_7.biom	3565	7	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_8.biom	3565	8	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_9.biom	3565	9	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_0.biom	3960	0	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_1.biom	3960	1	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_2.biom	3960	2	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_3.biom	3960	3	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_4.biom	3960	4	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_5.biom	3960	5	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_6.biom	3960	6	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_7.biom	3960	7	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_8.biom	3960	8	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_9.biom	3960	9	n/a	n/a	469.0	469.0	469.0	469.0
